Date,Open,High,Low,Close,TrndrUp BBG,TrndrDown BBG,TrndrUp Rep,TrndrDown Rep,Trend
2023-09-12,1922.14,1924.54,1907.66,1913.67,,,,,0
2023-09-13,1913.67,1915.8,1905.68,1908.12,,,,,0
2023-09-14,1908.12,1912.93,1901.05,1910.79,,,,,0
2023-09-15,1910.79,1930.46,1909.86,1923.91,,,,,0
2023-09-18,1923.87,1934.32,1922.63,1933.84,,,,,0
2023-09-19,1933.84,1937.44,1929.82,1931.36,,,,,0
2023-09-20,1931.36,1947.47,1928.0,1930.3,,,,,0
2023-09-21,1930.3,1931.63,1913.98,1920.02,,,,,0
2023-09-22,1920.02,1929.14,1919.69,1925.23,,,,,0
2023-09-25,1926.03,1927.23,1915.22,1915.92,,,,,0
2023-09-26,1916.12,1916.83,1899.19,1900.65,,,,,0
2023-09-27,1900.67,1903.94,1872.58,1875.12,,1919.66,,,0
2023-09-28,1875.12,1879.57,1857.76,1864.87,,1905.07,,,0
2023-09-29,1864.87,1879.89,1846.37,1848.63,,1896.44,,1917.6747692477538,-1
2023-10-02,1848.42,1848.97,1827.24,1828.03,,1879.98,,1910.1504216412718,-1
2023-10-03,1828.03,1833.37,1815.3,1823.02,,1864.39,,1901.344920571033,-1
2023-10-04,1823.02,1830.59,1816.67,1821.36,,1854.27,,1892.984976575441,-1
2023-10-05,1821.44,1829.23,1813.16,1820.3,,1847.24,,1885.4935839701866,-1
2023-10-06,1820.32,1834.92,1810.51,1833.01,,1844.38,,1879.8066130610448,-1
2023-10-09,1846.11,1863.55,1844.26,1861.41,1820.65,,,1879.4857690133786,-1
2023-10-10,1861.41,1865.39,1853.07,1860.4,1829.97,,,1878.3849033517508,-1
2023-10-11,1860.4,1877.23,1858.68,1874.36,1838.52,,,1878.3849033517508,-1
2023-10-12,1874.36,1885.19,1867.97,1868.9,1847.2,,,1878.3849033517508,-1
2023-10-13,1868.91,1932.9,1868.79,1932.82,1853.55,,1849.7983853024575,,1
2023-10-16,1921.86,1926.48,1908.26,1920.2,1869.46,,1855.9795867128514,,1
2023-10-17,1920.16,1931.57,1912.47,1923.18,1881.04,,1862.3213991057662,,1
2023-10-18,1923.18,1962.64,1923.08,1947.55,1894.6,,1868.5845344434617,,1
2023-10-19,1947.55,1977.78,1945.29,1974.46,1910.57,,1876.5501802960714,,1
2023-10-20,1974.46,1997.22,1972.08,1981.4,1930.0,,1887.3115215913276,,1
2023-10-23,1974.52,1982.86,1964.41,1972.85,1937.52,,1896.1101621215416,,1
2023-10-24,1972.85,1980.91,1953.71,1970.97,1939.26,,1902.6324204274615,,1
2023-10-25,1970.97,1987.3,1963.24,1979.72,1943.97,,1910.0160925571183,,1
2023-10-26,1979.72,1993.48,1971.86,1984.71,1949.95,,1917.7245971766367,,1
2023-10-27,1984.71,2009.41,1976.91,2006.37,1956.88,,1924.790649665624,,1
2023-10-30,2006.54,2006.83,1991.01,1996.1,1964.06,,1933.581238418727,,1
2023-10-31,1996.1,2007.95,1978.9,1983.88,1966.22,,1940.2465458097693,,1
2023-11-01,1983.88,1992.04,1969.94,1982.53,1966.22,,1946.68830601888,,1
2023-11-02,1982.53,1991.01,1978.91,1985.78,1966.22,,1949.9768142147707,,1
2023-11-03,1985.78,2004.1,1983.31,1992.65,1970.81,,1953.36637977606,,1
2023-11-06,1992.28,1993.17,1977.44,1978.14,1970.81,,1955.2310098926328,,1
2023-11-07,1978.14,1978.39,1956.78,1969.45,,1997.64,1955.2310098926328,,1
2023-11-08,1969.45,1971.07,1947.52,1950.2,,1988.27,,1985.1244390345485,-1
2023-11-09,1950.2,1965.64,1944.83,1958.55,,1981.08,,1983.136374910917,-1
2023-11-10,1958.55,1960.85,1933.13,1940.2,,1974.4,,1980.7476170426974,-1
2023-11-13,1941.2,1949.26,1931.74,1946.92,,1967.2,,1977.0885836467362,-1
2023-11-14,1946.9,1970.94,1941.82,1964.29,,1967.2,,1976.5880141712962,-1
2023-11-15,1964.29,1975.07,1955.5,1959.85,,1967.2,,1976.5880141712962,-1
2023-11-16,1959.85,1988.0,1956.52,1980.9,1945.87,,1947.2495585862598,,1
2023-11-17,1980.9,1993.45,1978.65,1980.82,1955.73,,1951.2635355738394,,1
2023-11-20,1977.45,1985.23,1965.54,1978.07,1957.19,,1953.461589919884,,1
2023-11-21,1978.07,2007.61,1977.91,1998.29,1964.25,,1957.196372300535,,1
2023-11-22,1998.29,2006.39,1986.96,1990.17,1970.6,,1961.0259725623441,,1
2023-11-23,1990.17,1998.58,1989.57,1992.25,1973.73,,1964.1736453756196,,1
2023-11-24,1992.9,2003.65,1991.56,2000.82,1976.86,,1966.6331149637804,,1
2023-11-27,2001.02,2018.21,2000.63,2014.13,1983.61,,1970.0120801053731,,1
2023-11-28,2014.1,2043.04,2011.76,2040.97,1993.43,,1974.9885169529016,,1
2023-11-29,2040.97,2052.03,2035.48,2044.24,2006.84,,1982.345192179929,,1
2023-11-30,2044.24,2047.23,2031.91,2036.41,2013.27,,1988.1596997987026,,1
2023-12-01,2036.41,2075.41,2033.99,2072.22,2020.1,,1993.634894727671,,1
2023-12-04,2074.04,2135.39,2020.2,2029.42,2020.1,,1993.634894727671,,1
2023-12-05,2030.45,2041.26,2010.04,2019.36,,2085.21,1993.634894727671,,1
2023-12-06,2019.36,2035.91,2017.32,2025.55,,2077.53,1993.634894727671,,1
2023-12-07,2025.56,2039.94,2020.25,2028.47,,2074.17,1993.634894727671,,1
2023-12-08,2028.64,2034.08,1994.73,2004.67,,2066.82,1993.634894727671,,1
2023-12-11,2005.94,2007.85,1975.93,1981.95,,2053.0,,2051.554116812119,-1
2023-12-12,1982.15,1996.66,1977.25,1979.54,,2042.14,,2046.8153019950303,-1
2023-12-13,1980.15,2027.76,1973.15,2027.74,,2042.14,,2046.8153019950303,-1
2023-12-14,2027.74,2047.93,2024.58,2036.36,,2042.14,,2046.8153019950303,-1
2023-12-15,2036.85,2044.94,2015.67,2019.62,,2042.14,,2046.8153019950303,-1
2023-12-18,2017.78,2033.72,2016.01,2027.19,,2042.14,,2046.8153019950303,-1
2023-12-19,2027.64,2047.01,2021.77,2040.35,,2042.14,,2046.8153019950303,-1
2023-12-20,2040.59,2043.52,2027.54,2031.39,,2042.14,,2045.1219262993723,-1
2023-12-21,2032.1,2046.02,2031.58,2045.95,1996.59,,2003.800633305589,,1
2023-12-22,2045.95,2070.64,2045.95,2053.08,2006.44,,2007.9865280643298,,1
2023-12-26,2064.46,2069.09,2054.55,2067.81,2028.35,,2012.436159369037,,1
2023-12-27,2068.46,2084.5,2061.55,2077.49,2037.39,,2017.081130798326,,1
